Language,Emoji&hashtag,Train/test,Model,Model_Specification,TF-IDF,Balance,Average_accuracy_30IT,Std_deviation
Spanish,All,80/20,LR,"Lbfgs solver, small C",No,Yes,74.3231961836613,0.6884207052348588
Spanish,All,80/20,LR,"Lbfgs solver, small C",No,No,74.17311083977751,0.7838057676806637
Spanish,All,80/20,LR,"Lbfgs solver, standard C",Yes,Yes,74.65563506261181,1.0364144749057755
Spanish,All,80/20,LR,"Lbfgs solver, standard C",Yes,No,74.97218830552164,0.9239050407145001
Spanish,All,80/20,LR,"Lbfgs solver, standard C",No,Yes,74.34257602862255,0.8526203379200494
Spanish,All,80/20,LR,"Lbfgs solver, standard C",No,No,74.16768416768417,0.8444577829283205
Spanish,All,80/20,LR,"Lbfgs solver, large C",Yes,Yes,73.26774001192605,0.6532804705714458
Spanish,All,80/20,LR,"Lbfgs solver, large C",Yes,No,74.11477411477412,0.8693778892942327
Spanish,All,80/20,LR,"Lbfgs solver, large C",No,Yes,72.73255813953489,0.8461242739331682
Spanish,All,80/20,LR,"Lbfgs solver, large C",No,No,73.04164970831637,0.7583071656174422
Spanish,No,60/40,Naive Bayes,Multinomial,Yes,Yes,71.62901662566168,0.6309160527628118
Spanish,No,60/40,Naive Bayes,Multinomial,Yes,No,71.81386514719848,0.5940199759941002
Spanish,No,60/40,Naive Bayes,Multinomial,No,Yes,71.1682695892045,0.5422896943603894
Spanish,No,60/40,Naive Bayes,Multinomial,No,No,71.42585809252476,0.5603933153572724
Spanish,No,60/40,Naive Bayes,Bernoulli,Yes,Yes,70.81115335868188,0.6990308890347189
Spanish,No,60/40,Naive Bayes,Bernoulli,Yes,No,71.01682268348935,0.6312847209048165
Spanish,No,60/40,Naive Bayes,Bernoulli,No,Yes,70.82979199284276,0.4858294313708842
Spanish,No,60/40,Naive Bayes,Bernoulli,No,No,70.89811423144756,0.8687030798653184
Spanish,No,60/40,SVM,"Linear kernel, small C",Yes,Yes,69.5131588757176,1.3216716804240942
Spanish,No,60/40,SVM,"Linear kernel, small C",Yes,No,65.44091710758377,0.9082064441002534
Spanish,No,60/40,SVM,"Linear kernel, small C",No,Yes,73.96257362260494,0.5073774846846958
Spanish,No,60/40,SVM,"Linear kernel, small C",No,No,74.1086691086691,0.5668393655123518
Spanish,No,60/40,SVM,"Linear kernel, standard C",Yes,Yes,73.57414448669202,0.5437768851840308
Spanish,No,60/40,SVM,"Linear kernel, standard C",Yes,No,74.1296974630308,0.5209663686346979
Spanish,No,60/40,SVM,"Linear kernel, standard C",No,Yes,71.480653097741,0.5961828502830122
Spanish,No,60/40,SVM,"Linear kernel, standard C",No,No,71.74738841405508,0.49681689153175207
Spanish,No,60/40,SVM,"Linear kernel, large C",Yes,Yes,69.87549392380527,0.5064246281924555
Spanish,No,60/40,SVM,"Linear kernel, large C",Yes,No,70.32288698955365,0.5675992505479138
Spanish,No,60/40,SVM,"Linear kernel, large C",No,Yes,69.542980690375,0.7163483160516626
Spanish,No,60/40,SVM,"Linear kernel, large C",No,No,69.74087640754307,0.5172802784669437
Spanish,No,60/40,SVM,"RBF kernel, small C",Yes,Yes,56.5101021397152,2.472969520040844
Spanish,No,60/40,SVM,"RBF kernel, small C",Yes,No,57.65703432370099,0.6808518058687085
Spanish,No,60/40,SVM,"RBF kernel, small C",No,Yes,65.17259375232983,1.3540200666623974
Spanish,No,60/40,SVM,"RBF kernel, small C",No,No,63.17867317867318,0.8698639532639035
Spanish,No,60/40,SVM,"RBF kernel, standard C",Yes,Yes,74.33981957802132,0.5878371669981053
Spanish,No,60/40,SVM,"RBF kernel, standard C",Yes,No,74.58689458689459,0.529111324757156
Spanish,No,60/40,SVM,"RBF kernel, standard C",No,Yes,74.0058152538582,0.49532344261786615
Spanish,No,60/40,SVM,"RBF kernel, standard C",No,No,74.1859991859992,0.6349177110604038
Spanish,No,60/40,SVM,"RBF kernel, large C",Yes,Yes,74.28390367553865,0.49456655938320293
Spanish,No,60/40,SVM,"RBF kernel, large C",Yes,No,74.65404965404966,0.39277884348128084
Spanish,No,60/40,SVM,"RBF kernel, large C",No,Yes,73.45485722806232,0.4800674595587333
Spanish,No,60/40,SVM,"RBF kernel, large C",No,No,73.81359381359381,0.5896398037886507
Spanish,No,60/40,LR,"Liblinear solver, small C",Yes,Yes,71.92574368150302,0.7586484836717744
Spanish,No,60/40,LR,"Liblinear solver, small C",Yes,No,68.34893501560168,1.0288663020689197
Spanish,No,60/40,LR,"Liblinear solver, small C",No,Yes,73.47424140758966,0.679510090472459
Spanish,No,60/40,LR,"Liblinear solver, small C",No,No,73.658255324922,0.6783460578367998
